10, 1800, 2800, 1700
20, 600, 800, 600
30, 600, 800, 900
40, 700, 900, 1300
50, 700, 1100, 1300
60, 700, 1300, 600
70, 600, 1400, 1800
80, 800, 1700, 3000
90, 700, 1700, 3000
100, 700, 1800, 1000
110, 700, 2000, 2800
120, 700, 2100, 800
130, 700, 2200, 1300
140, 700, 3500, 2500
150, 700, 2500, 4000
160, 700, 2700, 4800
170, 700, 2800, 5600
180, 700, 2900, 7100
190, 700, 3100, 4600
200, 700, 3800, 1600
210, 700, 3400, 1900
220, 700, 3600, 7600
230, 700, 3800, 4300
240, 700, 3900, 7900
250, 700, 4600, 1100
260, 700, 4100, 9500
270, 700, 4300, 3300
280, 700, 4500, 3000
290, 700, 5200, 2200
300, 700, 4800, 6000
310, 700, 4900, 10800
320, 700, 5600, 1600
330, 700, 5100, 9000
340, 700, 8200, 10700
350, 800, 6000, 2400
360, 700, 5700, 2000
370, 700, 5800, 2000
380, 800, 6500, 500
390, 700, 6000, 2100
400, 800, 6700, 11800
410, 700, 6400, 1000
420, 800, 6900, 14700
430, 700, 7100, 5200
440, 800, 8100, 700
450, 700, 7500, 14500
460, 700, 7000, 7900
470, 800, 7700, 5400
480, 800, 7400, 8600
490, 800, 8500, 10100
500, 700, 8300, 5000
510, 800, 7800, 12200
520, 700, 8600, 10900
530, 800, 8100, 16700
540, 700, 9600, 10900
550, 800, 8800, 13300
560, 800, 8500, 17000
570, 800, 9500, 1600
580, 800, 8800, 19100
590, 700, 9500, 11700
600, 800, 9100, 10400
610, 800, 9700, 4100
620, 800, 9800, 17200
630, 800, 9600, 15700
640, 700, 10100, 4200
650, 700, 11600, 4400
660, 800, 10800, 16800
670, 800, 10500, 10300
680, 800, 10300, 1100
690, 800, 11100, 19400
700, 700, 11000, 20900
710, 800, 10600, 4800
720, 800, 11300, 6000
730, 800, 11500, 22200
740, 700, 11600, 26600
750, 700, 11300, 5600
760, 800, 11900, 12500
770, 700, 12000, 1300
780, 800, 12200, 24800
790, 700, 11800, 1200
800, 700, 12500, 2700
810, 700, 12700, 4200
820, 800, 12800, 15400
830, 800, 13000, 18000
840, 800, 12600, 600
850, 700, 13500, 13100
860, 800, 15700, 14500
870, 800, 13700, 5500
880, 800, 14000, 14500
890, 800, 13900, 15700
900, 1000, 18300, 28400
910, 800, 14200, 17800
920, 800, 14200, 11800
930, 800, 14400, 9600
940, 700, 14600, 33800
950, 800, 14700, 26600
960, 800, 14800, 5700
970, 700, 15100, 4300
980, 800, 15100, 6700
990, 700, 15200, 29700
1000, 700, 15400, 3400
1010, 700, 17500, 9500
1020, 900, 3000, 30600
1030, 800, 2700, 2500
1040, 800, 2600, 700
1050, 800, 2700, 3500
1060, 800, 2700, 2800
1070, 800, 2700, 700
1080, 800, 2800, 1200
1090, 800, 3300, 2800
1100, 800, 2800, 3200
1110, 800, 3900, 1700
1120, 900, 2900, 1300
1130, 800, 3700, 1100
1140, 700, 2900, 1500
1150, 800, 3000, 3100
1160, 3000, 3600, 1400
1170, 900, 4000, 2900
1180, 700, 3000, 2800
1190, 800, 3100, 500
1200, 800, 3000, 3500
1210, 800, 3100, 1500
1220, 800, 3100, 1300
1230, 800, 3700, 2300
1240, 800, 3200, 3500
1250, 800, 3100, 1000
1260, 900, 3200, 3400
1270, 800, 3300, 3200
1280, 1100, 3300, 3900
1290, 800, 3400, 1300
1300, 700, 3800, 2100
1310, 900, 3400, 2400
1320, 800, 3300, 3200
1330, 900, 3400, 2200
1340, 800, 3300, 3800
1350, 800, 3400, 3700
1360, 800, 6100, 2900
1370, 700, 3500, 100
1380, 800, 3500, 400
1390, 700, 3500, 4500
1400, 900, 3500, 2200
1410, 800, 3600, 1000
1420, 800, 4100, 3400
1430, 800, 3600, 2200
1440, 900, 3700, 1900
1450, 700, 3600, 1200
1460, 800, 3700, 3100
1470, 800, 3800, 1000
1480, 800, 4200, 4100
1490, 800, 3700, 1000
1500, 800, 3700, 4500
1510, 800, 3700, 3000
1520, 800, 3800, 3800
1530, 800, 55000, 800
1540, 900, 3900, 1100
1550, 800, 3800, 2800
1560, 800, 3900, 2200
1570, 800, 3900, 100
1580, 900, 21300, 4200
1590, 900, 4000, 2900
1600, 800, 4100, 7700
1610, 800, 4000, 3100
1620, 800, 4200, 3500
1630, 800, 18500, 400
1640, 700, 600, 4200
1650, 800, 500, 4400
1660, 800, 400, 500
1670, 800, 500, 3400
1680, 900, 400, 2100
1690, 900, 500, 400
1700, 800, 500, 4300
1710, 800, 400, 4600
1720, 800, 500, 100
1730, 900, 500, 600
1740, 800, 500, 1900
1750, 800, 500, 4200
1760, 900, 500, 6100
1770, 1100, 600, 200
1780, 1000, 600, 3000
1790, 900, 500, 28900
1800, 900, 500, 800
1810, 900, 400, 1800
1820, 800, 500, 4000
1830, 800, 500, 1500
1840, 800, 500, 2300
1850, 900, 500, 2000
1860, 800, 500, 2800
1870, 800, 500, 4000
1880, 900, 500, 2500
1890, 800, 500, 700
1900, 800, 500, 200
1910, 800, 500, 600
1920, 800, 500, 400
1930, 1200, 700, 200
1940, 900, 500, 500
1950, 1100, 800, 1200
1960, 1400, 800, 1000
1970, 1400, 800, 1000
1980, 1000, 700, 700
1990, 1300, 700, 500
2000, 1400, 900, 300
2010, 900, 500, 300
2020, 700, 500, 300
2030, 700, 400, 600
2040, 700, 500, 800
2050, 700, 500, 700
2060, 700, 500, 200
2070, 700, 500, 600
2080, 700, 500, 300
2090, 700, 500, 500
2100, 700, 500, 600
2110, 700, 500, 600
2120, 9200, 500, 800
2130, 1000, 500, 700
2140, 400, 500, 200
2150, 300, 400, 500
2160, 300, 500, 500
2170, 300, 500, 500
2180, 300, 500, 700
2190, 300, 500, 800
2200, 200, 500, 600
2210, 300, 500, 600
2220, 200, 500, 200
2230, 200, 600, 300
2240, 200, 500, 900
2250, 300, 500, 100
2260, 300, 500, 600
2270, 200, 500, 400
2280, 200, 500, 200
2290, 300, 500, 600
2300, 200, 500, 300
2310, 200, 500, 700
2320, 300, 500, 200
2330, 200, 600, 300
2340, 300, 600, 700
2350, 300, 500, 600
2360, 300, 500, 700
2370, 200, 600, 500
2380, 300, 600, 600
2390, 300, 600, 100
2400, 200, 500, 300
2410, 300, 600, 800
2420, 300, 600, 300
2430, 300, 600, 200
2440, 200, 600, 600
2450, 200, 600, 400
2460, 200, 600, 600
2470, 200, 500, 200
2480, 200, 500, 400
2490, 200, 600, 400
2500, 200, 500, 500
2510, 300, 600, 700
2520, 300, 500, 900
2530, 200, 600, 600
2540, 200, 500, 600
2550, 200, 600, 400
2560, 1100, 600, 1000
2570, 4100, 7600, 1800
2580, 200, 600, 400
2590, 200, 500, 600
2600, 200, 500, 600
2610, 300, 500, 300
2620, 200, 500, 800
2630, 100, 500, 300
2640, 100, 500, 600
2650, 200, 500, 300
2660, 200, 500, 800
2670, 200, 500, 400
2680, 100, 500, 400
2690, 200, 500, 300
2700, 200, 500, 600
2710, 100, 500, 600
2720, 100, 600, 400
2730, 200, 500, 100
2740, 100, 600, 500
2750, 200, 500, 100
2760, 200, 600, 800
2770, 200, 500, 500
2780, 200, 600, 800
2790, 200, 500, 200
2800, 200, 600, 700
2810, 200, 500, 900
2820, 200, 500, 700
2830, 100, 600, 200
2840, 200, 500, 900
2850, 200, 600, 100
2860, 200, 600, 600
2870, 200, 500, 100
2880, 100, 600, 700
2890, 200, 500, 500
2900, 100, 500, 800
2910, 100, 500, 800
2920, 200, 600, 500
2930, 200, 500, 900
2940, 100, 700, 400
2950, 200, 500, 200
2960, 200, 1000, 100
2970, 200, 1100, 300
2980, 200, 600, 100
2990, 100, 600, 100
